"ARAX","ARAX_score","ARA_count","ARA_list","agg1","agg2","ara","aragorn","aragorn_score","biothings_explorer","biothings_explorer_score","causal_mechanism_qualifier","comp_clinical_evidence_score","comp_confidence_score","comp_novelty_score","edge_id","edge_object","edge_objectNode_cat","edge_objectNode_cats","edge_objectNode_name","edge_subjectNode_cat","edge_subjectNode_cats","edge_subjectNode_name","edge_type","edgeg_subject","improving_agent","improving_agent_score","normalized_score","object_aspect_qualifier","object_direction_qualifier","object_form_or_variant_qualifier","phrase","pk","predicate","primary_source","publications","publications_count","qualified_predicate","qualifiers","rank","result_counter","result_objectNode_cat","result_objectNode_id","result_objectNode_name","result_subjectNode_cat","result_subjectNode_id","result_subjectNode_name","subject_aspect_qualifier","subject_direction_qualifier","subject_form_or_variant_qualifier","sugeno_score","unsecret","unsecret_score","weighted_mean_score"
"false","0","1","infores:arax","infores:arax","","infores:arax","false","0","false","0","","N/A","1","N/A","infores:service-provider-trapi:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:service-provider-trapi","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:service-provider-trapi","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:automat-robokop","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:automat-robokop:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:drugcentral","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:drugcentral","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:biothings-repodb","infores:service-provider-trapi","infores:arax","false","0","false","0","","N/A","1","N/A","infores:service-provider-trapi:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:repodb","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:repodb","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:molepro","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:molepro:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:drugcentral","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:drugcentral","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:rtx-kg2","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:rtx-kg2:CHEBI:5102--biolink:applied_to_treat--None--None--None--MONDO:0018479--infores:drugcentral","MONDO:0018479","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","congenital adrenal hyperplasia","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:drugcentral","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:automat-drug-central","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:automat-drug-central:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:drugcentral","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:drugcentral","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:rtx-kg2","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:rtx-kg2:CHEBI:5102--biolink:applied_to_treat--None--None--None--MONDO:0015129--infores:drugcentral","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:drugcentral","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:molepro","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:molepro:CHEBI:50885--biolink:treats--None--None--None--MONDO:0015129--infores:ctd","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:ctd","PMID:9816363","1","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:molepro","infores:arax","infores:arax","false","0","false","0","","N/A","1","N/A","infores:molepro:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:sider","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:sider","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
"false","0","1","infores:arax","infores:arax","","infores:arax","false","0","false","0","","N/A","1","N/A","infores:spoke:CHEBI:5102--biolink:treats--None--None--None--MONDO:0015129--infores:spoke","MONDO:0015129","biolink:Disease","biolink:Disease; biolink:NamedThing; biolink:ThingWithTaxon; biolink:DiseaseOrPhenotypicFeature; biolink:BiologicalEntity","Addison Disease","biolink:SmallMolecule","biolink:SmallMolecule; biolink:NamedThing; biolink:ChemicalOrDrugOrTreatment; biolink:ChemicalEntityOrProteinOrPolypeptide; biolink:ChemicalMixture; biolink:PhysicalEssenceOrOccurrent; biolink:ChemicalEntity; biolink:MolecularEntity; biolink:Drug; biolink:MolecularMixture; biolink:ChemicalEntityOrGeneOrGeneProduct; biolink:OntologyClass; biolink:PhysicalEssence","fludrocortisone acetate","one-hop","CHEBI:5102","false","0","100","","","","DEFAULT PHRASE","pk-placeholder","biolink:treats","infores:spoke","","0","","","1","1","biolink:Disease","MONDO:0015129","Addison Disease","biolink:SmallMolecule","CHEBI:5102","fludrocortisone acetate","","","","1","false","0","0.5"
